                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52261,                 2.9984,                0.98345,                0.52041,                 11.734,                0.97313,                0.56827,                0.43051,                0.50645,                0.47654,                0.35552,                 2.4082,                0.90459,                0.36435,                 11.179,                0.89867,             0.00024442,             0.00024442,             0.00024442
                      2,                0.44366,                 1.3535,                0.90977,                 0.4879,                 2.9002,                0.91197,                0.58427,                0.32333,                0.24585,                0.20398,                 0.6667,                 8.5623,                 1.4596,                0.68201,                 10.549,                 1.2738,               0.000495,               0.000495,               0.000495
                      3,                 0.4716,                 1.0853,                0.92178,                0.55448,                 1.5512,                0.93605,                0.00649,                0.03019,                0.00369,                0.00171,                 2.1082,                 12.464,                 2.9035,                 2.2007,                 8.1102,                 2.6513,             0.00074052,             0.00074052,             0.00074052
                      4,                0.45345,                0.88381,                0.92229,                0.57259,                 1.1675,                0.94305,                0.71659,                0.14395,                0.15933,                0.08369,                 1.8488,                 9.6949,                 2.4552,                 1.5931,                  6.948,                 2.9726,             0.00098098,             0.00098098,             0.00098098
                      5,                0.51746,                0.90246,                0.92794,                0.62771,                  1.114,                0.96048,                0.75495,                0.09231,                0.11056,                0.07443,                 1.9144,                 6.3957,                  5.005,                 2.0621,                 5.5852,                 3.7402,               0.001067,               0.001067,               0.001067
                      6,                0.51563,                 0.9288,                0.93706,                0.66696,                 1.0646,                 0.9665,                0.43004,                0.08722,                0.02795,                 0.0223,                0.94103,                 16.606,                 1.6509,                 1.2123,                 10.879,                 1.6015,               0.001067,               0.001067,               0.001067
                      7,                0.47604,                0.82906,                0.90211,                0.59444,                 0.9579,                 0.9168,                0.37034,                0.28545,                0.21836,                0.16034,                0.85421,                 4.2675,                 1.4094,                 1.0427,                 7.2766,                  1.456,               0.001056,               0.001056,               0.001056
                      8,                0.44704,                0.81316,                0.90351,                0.56521,                0.92912,                0.92968,                0.43699,                 0.4719,                0.39037,                0.31407,                0.61301,                 2.2333,                 1.1778,                0.68223,                 9.0988,                 1.2553,               0.001045,               0.001045,               0.001045
                      9,                0.43075,                0.75971,                0.90248,                 0.5565,                 0.8844,                0.93718,                0.82562,                0.74066,                0.89263,                0.81359,                 0.3796,                 1.3672,                0.95187,                0.49273,                 1.1338,                 1.1139,               0.001034,               0.001034,               0.001034
                     10,                0.42158,                0.72241,                 0.8968,                0.53938,                0.78173,                0.91688,                0.76345,                0.80663,                0.83411,                0.73862,                 0.3793,                 1.8436,                0.93911,                0.50192,                 1.7929,                 1.0605,               0.001023,               0.001023,               0.001023
                     11,                0.40913,                0.69906,                 0.8953,                0.51895,                0.76322,                0.91648,                0.46022,                 0.3408,                0.42414,                0.38142,                0.50582,                 2.7694,                 1.0357,                0.49812,                 3.0731,                 1.0373,               0.001012,               0.001012,               0.001012
                     12,                 0.4226,                0.71552,                0.92801,                0.52459,                  0.733,                0.95701,                 0.7275,                0.52793,                0.47665,                0.42227,                0.38869,                 2.0953,                0.91728,                0.45308,                  2.233,                0.98547,               0.001001,               0.001001,               0.001001
                     13,                0.40114,                0.71489,                0.90029,                0.50032,                0.79587,                0.91951,                0.62195,                0.63824,                0.69636,                0.63406,                 0.2942,                 1.1735,                0.87177,                0.38985,                 1.9212,                0.93246,             0.00099001,             0.00099001,             0.00099001
                     14,                0.38794,                0.69718,                0.89051,                0.50135,                0.80759,                0.90653,                0.83534,                0.80695,                0.88713,                0.83495,                0.29938,                 0.5318,                0.85062,                0.36499,                0.75757,                0.92416,             0.00097901,             0.00097901,             0.00097901
                     15,                0.36753,                0.69282,                0.89199,                0.48625,                0.76758,                 0.9131,                 0.9078,                 0.9107,                0.94827,                0.88694,                 0.3185,                0.42814,                0.87469,                0.38111,                0.46321,                0.94494,             0.00096801,             0.00096801,             0.00096801
                     16,                0.38198,                0.62315,                0.88726,                0.49367,                0.68701,                0.90855,                0.81147,                0.72055,                0.88195,                0.83065,                0.29208,                0.67566,                0.85977,                0.37261,                0.72339,                0.91394,             0.00095702,             0.00095702,             0.00095702
                     17,                 0.3904,                0.64728,                0.88927,                0.49634,                0.69227,                0.90784,                0.70695,                0.60353,                0.57929,                0.55043,                0.27163,                 1.4613,                0.84822,                0.35025,                 1.4889,                0.90626,             0.00094602,             0.00094602,             0.00094602
                     18,                0.40394,                0.66564,                0.88999,                0.50831,                0.69017,                0.90561,                0.62345,                0.75921,                0.82815,                0.79354,                0.27832,                0.94085,                0.85331,                 0.3382,                  1.031,                0.90396,             0.00093502,             0.00093502,             0.00093502
                     19,                 0.3676,                0.59591,                0.88544,                0.45472,                0.63927,                0.89948,                0.84075,                  0.479,                0.83491,                0.79591,                0.29092,                 1.2035,                0.86578,                0.33918,                 1.4264,                0.88445,             0.00092402,             0.00092402,             0.00092402
                     20,                0.36534,                0.59402,                0.88112,                 0.4482,                0.63912,                0.89844,                0.55857,                0.59474,                  0.534,                0.51371,                0.28037,                 1.9577,                0.84992,                0.32936,                 1.8691,                0.89993,             0.00091302,             0.00091302,             0.00091302
                     21,                 0.3526,                0.56378,                0.88528,                0.44091,                0.59372,                0.89581,                0.65062,                0.79402,                0.81262,                0.78698,                0.23144,                 0.7872,                0.81181,                0.29049,                0.92096,                0.86242,             0.00090202,             0.00090202,             0.00090202
                     22,                0.34324,                0.52422,                0.87829,                0.42216,                0.56403,                0.88796,                0.69894,                0.80953,                 0.8523,                0.82433,                0.25132,                 1.0513,                0.82553,                0.29767,                 1.1656,                 0.8653,             0.00089102,             0.00089102,             0.00089102
                     23,                0.36225,                0.57764,                0.88338,                0.44818,                0.61728,                0.89647,                0.62638,                0.71035,                 0.7361,                0.70536,                0.23591,                 1.8165,                0.81743,                 0.3055,                 1.8785,                0.85998,             0.00088002,             0.00088002,             0.00088002
                     24,                 0.3669,                0.51873,                0.87938,                0.45059,                0.54526,                0.89515,                0.80657,                0.82928,                0.86857,                0.82777,                0.23414,                0.72254,                0.81684,                0.32608,                 0.6265,                0.88698,             0.00086902,             0.00086902,             0.00086902
                     25,                0.35174,                0.48393,                0.88025,                  0.427,                0.51349,                0.88712,                0.83777,                0.82103,                0.93308,                0.89847,                0.22359,                0.59594,                 0.8151,                0.29649,                0.58949,                0.85615,             0.00085803,             0.00085803,             0.00085803
                     26,                0.34646,                0.55027,                0.88817,                0.43993,                0.57611,                0.89988,                0.78076,                  0.797,                0.90162,                0.88131,                0.22004,                  1.058,                0.81184,                0.28218,                0.92975,                0.84583,             0.00084703,             0.00084703,             0.00084703
                     27,                0.35022,                0.50874,                0.88424,                0.43098,                0.54432,                 0.8976,                0.91426,                 0.9777,                0.98325,                0.96206,                 0.2296,                0.25731,                0.81798,                0.26656,                0.24305,                0.84216,             0.00083603,             0.00083603,             0.00083603
                     28,                0.33339,                0.48077,                0.87358,                0.41094,                0.46876,                0.88414,                0.91049,                0.91998,                0.96892,                0.94255,                0.22242,                0.32246,                0.81927,                0.30399,                0.28416,                0.89068,             0.00082503,             0.00082503,             0.00082503
                     29,                0.33515,                0.50028,                0.87416,                0.40311,                0.51831,                0.88424,                0.79788,                0.87389,                0.96031,                0.93936,                0.22358,                0.51747,                0.81074,                0.26802,                0.58775,                0.83556,             0.00081403,             0.00081403,             0.00081403
                     30,                0.32676,                0.48934,                0.87696,                 0.4047,                0.49416,                0.89313,                0.92023,                0.91578,                0.95854,                0.93891,                0.21129,                0.32184,                0.80499,                0.26146,                0.30601,                0.84623,             0.00080303,             0.00080303,             0.00080303
                     31,                0.35554,                0.53487,                0.89029,                 0.4594,                0.55544,                0.91957,                0.92424,                0.95489,                0.97699,                0.94433,                0.22212,                0.27238,                0.80824,                0.27375,                 0.3176,                0.84941,             0.00079203,             0.00079203,             0.00079203
                     32,                0.33342,                0.43354,                0.87227,                0.40261,                0.44022,                0.88622,                0.93808,                0.95613,                0.98441,                0.95558,                0.23284,                0.28152,                0.81244,                0.27287,                0.23182,                0.85637,             0.00078103,             0.00078103,             0.00078103
                     33,                0.33492,                0.47008,                0.87749,                 0.4059,                0.49425,                0.88817,                0.82422,                0.88628,                0.94276,                 0.9186,                0.22267,                0.52497,                0.79995,                 0.2594,                0.47168,                0.83483,             0.00077003,             0.00077003,             0.00077003
                     34,                0.32499,                0.47457,                0.87725,                0.39287,                0.49865,                0.88386,                0.88443,                0.90366,                0.95901,                0.93685,                0.22025,                0.29897,                0.81403,                0.25703,                0.36513,                0.84403,             0.00075904,             0.00075904,             0.00075904
                     35,                0.33006,                0.47867,                0.87056,                0.40744,                0.52406,                0.88049,                0.90422,                0.86607,                0.96339,                0.94318,                0.22272,                0.36704,                0.82459,                0.23644,                0.35068,                0.83726,             0.00074804,             0.00074804,             0.00074804
                     36,                0.32417,                0.45916,                0.87198,                0.38175,                0.47222,                0.87716,                0.82026,                0.92964,                0.97008,                0.95426,                0.23179,                0.38522,                0.82369,                0.24459,                0.39888,                0.84214,             0.00073704,             0.00073704,             0.00073704
                     37,                0.30543,                0.42032,                0.87124,                0.36901,                0.44155,                0.88344,                0.93629,                0.92707,                0.97674,                0.96563,                0.20173,                0.36876,                0.79596,                 0.2236,                0.32834,                0.82795,             0.00072604,             0.00072604,             0.00072604
                     38,                0.32632,                0.45507,                0.87178,                0.39688,                 0.4598,                0.88215,                  0.639,                0.82114,                0.80013,                0.78612,                 0.2281,                0.87175,                0.80826,                0.25563,                0.84873,                0.84585,             0.00071504,             0.00071504,             0.00071504
                     39,                0.32038,                0.45455,                0.87152,                0.38219,                0.45331,                0.87905,                0.94382,                0.92294,                0.97451,                0.95814,                0.20195,                0.21725,                0.80451,                0.23048,                0.22276,                0.83137,             0.00070404,             0.00070404,             0.00070404
                     40,                0.31283,                 0.4242,                0.86409,                0.37306,                0.42683,                0.87718,                0.87887,                0.92164,                 0.9619,                0.94631,                0.19945,                0.34505,                0.79622,                0.24851,                0.28518,                0.84798,             0.00069304,             0.00069304,             0.00069304
                     41,                0.32532,                0.44058,                0.87729,                0.40423,                0.45959,                0.88753,                 0.9027,                0.97239,                0.97748,                  0.962,                0.21258,                0.22794,                0.79854,                0.25488,                0.19864,                 0.8543,             0.00068204,             0.00068204,             0.00068204
                     42,                0.32316,                0.46311,                0.86971,                0.40187,                0.47279,                 0.8769,                0.82656,                0.92668,                0.96263,                0.94256,                  0.215,                0.33839,                0.80637,                  0.239,                  0.462,                0.83257,             0.00067104,             0.00067104,             0.00067104
                     43,                0.30965,                0.40142,                 0.8735,                0.37217,                0.41288,                0.88263,                0.84365,                0.50603,                0.75403,                0.73997,                0.21976,                 1.3777,                0.81603,                0.25916,                 1.3958,                0.85045,             0.00066005,             0.00066005,             0.00066005
                     44,                0.31847,                0.42717,                0.86837,                0.38202,                0.44786,                0.87921,                0.91229,                0.94453,                0.97039,                0.95804,                0.21297,                0.26915,                0.80554,                0.24672,                0.21542,                0.83302,             0.00064905,             0.00064905,             0.00064905
                     45,                0.31717,                0.44346,                 0.8847,                0.37375,                0.48217,                 0.8927,                0.55809,                0.65294,                 0.7348,                0.71946,                0.20926,                 1.2597,                0.81992,                0.26052,                 1.3354,                0.89438,             0.00063805,             0.00063805,             0.00063805
                     46,                0.31142,                0.46011,                0.87634,                0.36764,                 0.4997,                0.89068,                0.60858,                0.83811,                0.88358,                0.87157,                0.19846,                0.84449,                  0.804,                0.23851,                0.81902,                0.83582,             0.00062705,             0.00062705,             0.00062705
                     47,                0.31871,                0.45899,                0.87632,                0.38159,                 0.4747,                0.88302,                0.82998,                0.69326,                0.82625,                 0.8117,                0.20842,                 1.3224,                0.80878,                 0.2172,                0.95637,                0.82783,             0.00061605,             0.00061605,             0.00061605
                     48,                0.30515,                0.39263,                0.86418,                0.35765,                0.39013,                0.87163,                0.59279,                0.63156,                 0.8121,                0.80234,                0.19786,                 1.4317,                 0.8081,                0.20292,                 1.4533,                0.81562,             0.00060505,             0.00060505,             0.00060505
                     49,                0.31035,                0.41368,                0.87004,                0.36818,                 0.4235,                0.87405,                0.82946,                0.68269,                0.73933,                0.73192,                0.19833,                 1.9197,                0.79784,                0.21336,                 2.0155,                0.82376,             0.00059405,             0.00059405,             0.00059405
                     50,                0.30182,                0.38376,                0.86994,                0.35561,                0.38445,                0.87783,                0.90197,                0.94295,                0.97249,                0.96317,                0.19588,                0.28339,                0.79764,                 0.2078,                0.27086,                0.82426,             0.00058305,             0.00058305,             0.00058305
                     51,                0.29123,                0.39626,                0.86788,                0.34393,                0.40592,                0.87444,                0.77752,                0.55051,                0.78224,                 0.7725,                0.20026,                 1.3549,                0.80625,                 0.2069,                 1.4203,                0.81406,             0.00057205,             0.00057205,             0.00057205
                     52,                0.30357,                0.37742,                0.86132,                0.35211,                0.38583,                0.86715,                 0.9059,                 0.9339,                0.96646,                0.95639,                0.19219,                0.24889,                0.79992,                0.21623,                0.28176,                0.81444,             0.00056105,             0.00056105,             0.00056105
                     53,                 0.3071,                0.47755,                0.88633,                0.36525,                0.44663,                0.89366,                0.96997,                0.95131,                0.98235,                0.97583,                0.18954,                0.20354,                 0.7985,                0.20501,                 0.1545,                0.80469,             0.00055006,             0.00055006,             0.00055006
                     54,                 0.3036,                  0.373,                0.86406,                0.36185,                0.38967,                0.87165,                0.92974,                0.95505,                0.97945,                 0.9693,                0.18656,                0.22036,                0.79593,                0.20099,                0.19047,                0.80523,             0.00053906,             0.00053906,             0.00053906
                     55,                0.29151,                0.37241,                0.86852,                0.35716,                0.38783,                0.87461,                0.94053,                0.95524,                0.98078,                0.97111,                0.18061,                 0.2111,                0.79469,                 0.1921,                0.22866,                0.80628,             0.00052806,             0.00052806,             0.00052806
                     56,                0.28991,                0.38017,                0.87208,                0.33411,                0.39108,                0.88201,                0.94596,                0.94884,                0.97726,                0.96746,                0.19446,                0.23654,                0.79842,                 0.2077,                0.18348,                 0.8219,             0.00051706,             0.00051706,             0.00051706
                     57,                0.28822,                0.40791,                0.86814,                0.32977,                0.43861,                0.87272,                0.95677,                0.94964,                0.98237,                0.97115,                0.17201,                 0.2642,                0.78666,                0.20321,                0.21848,                0.81374,             0.00050606,             0.00050606,             0.00050606
                     58,                0.27679,                0.42111,                0.86164,                0.33284,                0.39965,                0.86714,                0.94629,                0.94763,                0.97544,                0.96791,                0.18348,                0.22574,                0.79442,                0.19937,                 0.1674,                0.80693,             0.00049506,             0.00049506,             0.00049506
                     59,                0.29856,                0.36853,                0.86153,                0.35143,                0.36667,                0.86526,                0.83027,                0.90297,                0.94698,                0.93915,                0.17636,                0.34289,                0.79773,                0.20138,                0.40384,                0.82462,             0.00048406,             0.00048406,             0.00048406
                     60,                 0.2865,                0.34073,                0.86121,                0.33092,                0.34221,                0.86894,                0.82259,                0.91429,                0.95735,                0.94414,                0.18795,                0.59045,                0.79764,                0.23978,                0.48256,                0.84281,             0.00047306,             0.00047306,             0.00047306
                     61,                0.28337,                0.37074,                0.86697,                 0.3345,                0.38452,                0.87985,                0.95531,                0.97339,                0.97248,                0.96654,                0.18339,                0.19483,                 0.7913,                0.21663,                0.20244,                0.81904,             0.00046206,             0.00046206,             0.00046206
                     62,                0.30297,                0.39228,                 0.8738,                 0.3475,                0.43875,                0.88325,                0.90411,                0.95405,                0.97736,                0.96872,                0.18338,                0.25812,                0.78675,                0.18816,                0.31874,                0.80809,             0.00045107,             0.00045107,             0.00045107
                     63,                0.29343,                0.41278,                 0.8601,                0.34324,                0.43113,                0.86624,                0.89938,                0.88575,                0.96439,                0.95371,                0.17852,                0.52492,                0.78935,                0.20685,                0.47014,                0.81387,             0.00044007,             0.00044007,             0.00044007
                     64,                0.28556,                0.36116,                0.86424,                0.33222,                0.35554,                  0.873,                 0.9121,                 0.8733,                0.97239,                0.95953,                0.18882,                0.40239,                0.79364,                0.19948,                0.46094,                0.81176,             0.00042907,             0.00042907,             0.00042907
                     65,                0.28277,                0.39753,                0.86469,                0.32493,                0.41821,                0.87281,                0.97194,                0.96222,                0.98451,                0.97283,                0.16971,                0.17836,                0.79052,                0.20125,                0.15417,                0.81858,             0.00041807,             0.00041807,             0.00041807
                     66,                0.28338,                0.35284,                0.85345,                0.34307,                0.36053,                0.86237,                0.98849,                0.95618,                0.98367,                0.97099,                0.17133,                 0.1808,                0.78776,                0.20785,                0.15422,                0.81927,             0.00040707,             0.00040707,             0.00040707
                     67,                0.29469,                0.45593,                0.87088,                0.39045,                0.41233,                0.89224,                0.96041,                0.96935,                0.98441,                0.97609,                0.17065,                0.19451,                0.78802,                0.21795,                0.16558,                0.82271,             0.00039607,             0.00039607,             0.00039607
                     68,                   0.31,                0.36633,                0.87308,                0.35244,                  0.374,                0.87632,                0.95837,                0.95292,                0.98296,                0.97638,                0.17135,                0.19803,                0.78914,                0.20138,                0.16198,                0.80759,             0.00038507,             0.00038507,             0.00038507
                     69,                0.27992,                0.35229,                0.87163,                0.33171,                0.35412,                0.87664,                0.96826,                0.95483,                0.98534,                 0.9773,                0.16803,                0.17717,                0.78616,                0.18019,                 0.1533,                0.80134,             0.00037407,             0.00037407,             0.00037407
                     70,                0.26858,                0.30872,                 0.8637,                0.29778,                0.29611,                0.86766,                0.96842,                0.95125,                0.98253,                0.97394,                0.17262,                0.19041,                  0.791,                0.18515,                0.16424,                0.80741,             0.00036307,             0.00036307,             0.00036307
                     71,                 0.2775,                0.30711,                0.86578,                0.32004,                0.31081,                0.87126,                0.97331,                0.94622,                0.98706,                0.97499,                0.18786,                0.18205,                 0.8031,                0.21465,                0.15313,                0.83154,             0.00035208,             0.00035208,             0.00035208
                     72,                0.28319,                 0.3364,                0.86999,                0.31384,                0.35311,                0.87402,                0.84557,                0.91059,                0.96156,                0.95371,                0.18118,                0.38658,                0.79313,                0.20558,                0.38473,                0.81283,             0.00034108,             0.00034108,             0.00034108
                     73,                0.29124,                0.33522,                0.87553,                0.32809,                0.30276,                0.87684,                0.97949,                0.98194,                0.98675,                0.97876,                0.16187,                0.16283,                0.78616,                 0.1707,                0.14312,                0.80085,             0.00033008,             0.00033008,             0.00033008
                     74,                 0.2806,                0.32621,                0.87107,                 0.3242,                0.31493,                0.87671,                0.95899,                0.90127,                 0.9821,                0.97407,                0.16745,                0.37081,                0.79052,                0.18109,                0.35346,                0.79899,             0.00031908,             0.00031908,             0.00031908
                     75,                0.27314,                 0.3079,                0.86578,                0.31286,                0.29943,                0.87119,                0.77689,                0.86964,                0.94719,                0.93789,                 0.1808,                 1.1692,                0.79194,                0.19546,                0.94766,                0.80174,             0.00030808,             0.00030808,             0.00030808
                     76,                0.26761,                0.30498,                0.86079,                0.30189,                 0.2857,                 0.8643,                0.97832,                 0.9229,                0.98049,                0.97133,                0.17207,                0.20439,                0.78639,                0.19162,                0.17698,                0.80622,             0.00029708,             0.00029708,             0.00029708
                     77,                0.26218,                0.39595,                0.86527,                0.29983,                0.39998,                 0.8723,                0.94159,                0.92324,                0.97427,                0.96692,                0.17228,                0.23552,                0.78813,                0.19525,                0.24869,                 0.8085,             0.00028608,             0.00028608,             0.00028608
                     78,                0.26477,                0.33106,                0.86575,                0.31855,                0.34256,                0.87317,                0.96247,                0.95105,                 0.9821,                0.97498,                0.16844,                0.20147,                0.78768,                0.17714,                0.15316,                0.80146,             0.00027508,             0.00027508,             0.00027508
                     79,                0.28737,                0.31377,                0.86778,                0.32633,                0.29014,                0.87236,                0.97676,                0.94348,                0.98235,                0.97537,                0.16236,                0.16679,                0.78608,                0.17606,                  0.167,                0.80426,             0.00026408,             0.00026408,             0.00026408
                     80,                0.27842,                0.30101,                0.87052,                0.32064,                0.29721,                0.87928,                0.98248,                0.97321,                0.98701,                0.97979,                0.16834,                0.14822,                0.78684,                0.18583,                 0.1165,                0.81179,             0.00025309,             0.00025309,             0.00025309
                     81,                0.27066,                0.29653,                0.86177,                0.30753,                0.29686,                0.86559,                0.93828,                0.94471,                 0.9824,                0.97173,                0.16251,                0.35168,                0.77092,                0.18255,                 0.3641,                0.80621,             0.00024209,             0.00024209,             0.00024209
                     82,                0.25714,                0.29134,                0.85115,                0.29418,                0.28624,                0.85656,                0.95451,                0.98678,                0.98393,                0.97189,                0.16635,                0.16913,                0.78539,                0.19989,                0.14857,                0.81233,             0.00023109,             0.00023109,             0.00023109
                     83,                 0.2766,                0.31519,                0.87829,                0.33336,                  0.328,                0.88494,                0.98969,                0.97232,                0.98526,                 0.9726,                0.15708,                0.15625,                0.78402,                0.19401,                0.13177,                0.81556,             0.00022009,             0.00022009,             0.00022009
                     84,                0.26916,                0.31513,                0.86178,                0.31348,                0.30942,                0.86922,                0.91394,                0.90539,                0.96907,                0.96088,                0.15394,                0.28493,                0.78368,                0.17617,                0.24248,                0.80207,             0.00020909,             0.00020909,             0.00020909
                     85,                0.25527,                0.28379,                0.86087,                0.30179,                0.27179,                0.86949,                0.96256,                0.95798,                 0.9848,                0.97898,                0.16216,                0.24194,                0.77907,                0.18651,                0.21929,                0.80439,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.2711,                0.29822,                0.86395,                0.30691,                0.28638,                0.86834,                0.97087,                0.93482,                0.98427,                0.97692,                0.16404,                0.20791,                0.78328,                0.18048,                0.20046,                0.80378,             0.00018709,             0.00018709,             0.00018709
                     87,                0.25715,                0.30977,                0.86417,                 0.3033,                0.31405,                 0.8688,                0.98327,                0.95856,                0.98512,                0.97517,                0.16539,                 0.1469,                 0.7836,                0.19128,                0.18388,                0.80763,             0.00017609,             0.00017609,             0.00017609
                     88,                0.26182,                0.29903,                0.85751,                0.29828,                0.27793,                0.86296,                0.97583,                0.95967,                0.98565,                0.97605,                0.15723,                0.15087,                0.78297,                0.18065,                0.16001,                 0.8036,             0.00016509,             0.00016509,             0.00016509
                     89,                0.25963,                0.27933,                0.84833,                0.29293,                0.27473,                 0.8569,                0.96689,                0.98097,                0.98584,                0.97509,                0.15872,                0.14727,                 0.7826,                0.18209,                0.14945,                0.80243,              0.0001541,              0.0001541,              0.0001541
                     90,                0.27892,                0.32159,                0.87006,                0.31077,                0.35537,                0.87055,                0.97959,                0.95944,                0.98643,                0.97855,                0.15873,                0.16582,                0.78479,                0.18279,                0.13398,                0.79865,              0.0001431,              0.0001431,              0.0001431
                     91,                 0.1955,                0.30666,                0.81214,                0.23238,                0.29132,                0.84732,                0.97959,                0.97353,                0.98617,                0.97243,                0.16064,                0.14065,                0.78482,                0.19369,                0.13756,                0.80756,              0.0001321,              0.0001321,              0.0001321
                     92,                0.19024,                0.19057,                0.81541,                0.22171,                0.15134,                0.85223,                0.94029,                0.95542,                0.98192,                0.97393,                 0.1566,                0.27252,                 0.7817,                0.19045,                0.27091,                0.80226,              0.0001211,              0.0001211,              0.0001211
                     93,                0.18992,                 0.1843,                0.81588,                0.22267,                0.15409,                 0.8524,                0.98858,                 0.9611,                0.98506,                0.97679,                0.15692,                0.14369,                0.78285,                0.18043,                 0.1523,                0.80259,              0.0001101,              0.0001101,              0.0001101
                     94,                0.18061,                0.16882,                0.80004,                0.20795,                 0.1499,                0.82508,                0.99169,                0.97987,                0.98706,                 0.9758,                0.15695,                0.14009,                0.78048,                0.18697,                0.11113,                0.80134,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.1831,                0.27598,                0.81087,                0.21526,                0.25601,                0.84099,                0.97069,                0.97992,                0.98601,                0.97571,                0.15288,                0.13181,                0.77962,                0.17623,                0.10537,                0.79221,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.18164,                0.23871,                0.80919,                0.20564,                0.22823,                0.83307,                0.97539,                0.96396,                0.98695,                0.97887,                0.14652,                0.13829,                 0.7791,                0.16482,                0.14373,                0.79076,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 0.1753,                0.19133,                0.80543,                0.19804,                 0.1819,                0.83455,                0.99013,                0.95348,                0.98626,                0.98006,                0.14821,                0.13608,                0.77788,                0.16723,                0.13718,                0.79058,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.17929,                 0.1583,                0.80019,                0.20671,                0.14622,                0.82686,                 0.9894,                0.96447,                0.98639,                0.98012,                0.14605,                 0.1337,                0.77839,                0.16342,                0.12691,                0.79584,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.17654,                0.15278,                0.80595,                 0.2003,                0.12554,                0.83212,                0.98782,                0.96957,                0.98625,                0.98169,                0.14828,                0.13761,                0.77958,                0.16403,                0.11072,                0.79058,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.17486,                 0.1828,                0.80051,                0.19755,                0.13754,                0.82938,                0.99159,                0.98429,                0.98689,                0.98346,                0.14473,                0.13266,                0.78016,                0.15748,                0.11257,                0.78923,             3.3108e-05,             3.3108e-05,             3.3108e-05
